Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 
Enzyme Commission	2.5.1.57	Putative	KEGG	K05860	Putative	Pfam	PF09139	Putative
Enzyme Commission	2.5.1.65	Putative	KEGG	K01116	Putative	Pfam	PF09279	Putative
Enzyme Commission	2.5.1.67	Putative	KEGG	K05859	Putative	Pfam	PF09296	Putative
Enzyme Commission	2.5.1.68	Putative	KEGG	K05861	Putative	Pfam	PF09297	Putative
Enzyme Commission	2.5.1.69	Putative	KEGG	K19006	Putative	Pfam	PF09345	Putative
Enzyme Commission	2.5.1.81	Putative	KEGG	K01114	Putative	Pfam	PF09370	Putative
Enzyme Commission	2.5.1.82	Putative	KEGG	K16619	Putative	Pfam	PF09419	Putative
Enzyme Commission	2.5.1.83	Putative	KEGG	K01771	Putative	Pfam	PF09423	Putative
Enzyme Commission	2.5.1.84	Putative	KEGG	K01092	Putative	Pfam	PF09488	Putative
Enzyme Commission	2.5.1.85	Putative	KEGG	K10047	Putative	Pfam	PF09506	Putative
Enzyme Commission	2.5.1.86	Putative	KEGG	K18649	Putative	Pfam	PF09508	Putative
Enzyme Commission	2.5.1.87	Putative	KEGG	K00999	Putative	Pfam	PF09662	Putative
Enzyme Commission	2.5.1.88	Putative	KEGG	K01858	Putative	Pfam	PF09924	Putative
Enzyme Commission	2.5.1.89	Putative	KEGG	K01107	Putative	Pfam	PF09929	Putative
Enzyme Commission	2.5.1.90	Putative	KEGG	K15422	Putative	Pfam	PF09949	Putative
Enzyme Commission	2.5.1.91	Putative	KEGG	K19517	Putative	Pfam	PF09992	Putative
Enzyme Commission	2.5.1.92	Putative	KEGG	K01106	Putative	Pfam	PF10032	Putative
Enzyme Commission	2.5.1.102	Putative	KEGG	K24222	Putative	Pfam	PF10090	Putative
Enzyme Commission	2.5.1.103	Putative	KEGG	K24221	Putative	Pfam	PF10110	Putative
Enzyme Commission	2.5.1.105	Putative	KEGG	K03103	Putative	Pfam	PF10112	Putative
Enzyme Commission	2.5.1.132	Putative	KEGG	K00911	Putative	Pfam	PF10120	Putative
Enzyme Commission	2.5.1.135	Putative	KEGG	K00913	Putative	Pfam	PF10128	Putative
Enzyme Commission	2.5.1.142	Putative	KEGG	K01765	Putative	Pfam	PF10143	Putative
Enzyme Commission	2.5.1.145	Putative	KEGG	K00915	Putative	Pfam	PF10175	Putative
Enzyme Commission	2.6.1.9	Putative	KEGG	K10572	Putative	Pfam	PF10195	Putative
Enzyme Commission	2.6.1.16	Putative	KEGG	K19786	Putative	Pfam	PF10238	Putative
Enzyme Commission	2.6.1.37	Putative	KEGG	K01083	Putative	Pfam	PF10252	Putative
Enzyme Commission	2.6.1.52	Putative	KEGG	K01093	Putative	Pfam	PF10258	Putative
Enzyme Commission	2.6.1.54	Putative	KEGG	K23992	Putative	Pfam	PF10261	Putative
Enzyme Commission	2.6.1.104	Putative	KEGG	K07281	Putative	Pfam	PF10407	Putative
Enzyme Commission	2.6.1.108	Putative	KEGG	K07291	Putative	Pfam	PF10423	Putative
Enzyme Commission	2.6.1.114	Putative	KEGG	K00469	Putative	Pfam	PF10432	Putative
Enzyme Commission	2.6.99.2	Putative	KEGG	K00010	Putative	Pfam	PF10472	Putative
Enzyme Commission	2.7.1.1	Putative	KEGG	K06606	Putative	Pfam	PF10486	Putative
Enzyme Commission	2.7.1.2	Putative	KEGG	K16043	Putative	Pfam	PF10488	Putative
Enzyme Commission	2.7.1.3	Putative	KEGG	K16044	Putative	Pfam	PF10510	Putative
Enzyme Commission	2.7.1.4	Putative	KEGG	K22230	Putative	Pfam	PF10555	Putative
Enzyme Commission	2.7.1.5	Putative	KEGG	K22231	Putative	Pfam	PF10590	Putative
Enzyme Commission	2.7.1.6	Putative	KEGG	K22232	Putative	Pfam	PF10620	Putative
Enzyme Commission	2.7.1.7	Putative	KEGG	K22233	Putative	Pfam	PF10786	Putative
Enzyme Commission	2.7.1.8	Putative	KEGG	K03335	Putative	Pfam	PF11124	Putative
Enzyme Commission	2.7.1.10	Putative	KEGG	K03336	Putative	Pfam	PF11202	Putative
Enzyme Commission	2.7.1.11	Putative	KEGG	K03337	Putative	Pfam	PF11209	Putative
Enzyme Commission	2.7.1.12	Putative	KEGG	K03338	Putative	Pfam	PF11493	Putative
Enzyme Commission	2.7.1.13	Putative	KEGG	K03339	Putative	Pfam	PF11522	Putative
Enzyme Commission	2.7.1.14	Putative	KEGG	K00140	Putative	Pfam	PF11548	Putative
Enzyme Commission	2.7.1.15	Putative	KEGG	K01803	Putative	Pfam	PF11641	Putative
Enzyme Commission	2.7.1.16	Putative	KEGG	K00888	Putative	Pfam	PF11808	Putative
Enzyme Commission	2.7.1.17	Putative	KEGG	K19801	Putative	Pfam	PF11896	Putative
Enzyme Commission	2.7.1.18	Putative	KEGG	K13711	Putative	Pfam	PF12111	Putative
Enzyme Commission	2.7.1.19	Putative	KEGG	K21797	Putative	Pfam	PF12139	Putative
Enzyme Commission	2.7.1.20	Putative	KEGG	K21798	Putative	Pfam	PF12237	Putative
Enzyme Commission	2.7.1.21	Putative	KEGG	K00889	Putative	Pfam	PF12252	Putative
Enzyme Commission	2.7.1.22	Putative	KEGG	K01099	Putative	Pfam	PF12338	Putative
Enzyme Commission	2.7.1.23	Putative	KEGG	K20278	Putative	Pfam	PF12357	Putative
Enzyme Commission	2.7.1.24	Putative	KEGG	K20279	Putative	Pfam	PF12408	Putative
Enzyme Commission	2.7.1.25	Putative	KEGG	K00922	Putative	Pfam	PF12453	Putative
Enzyme Commission	2.7.1.26	Putative	KEGG	K02649	Putative	Pfam	PF12456	Putative
Enzyme Commission	2.7.1.27	Putative	KEGG	K01110	Putative	Pfam	PF12501	Putative
Enzyme Commission	2.7.1.28	Putative	KEGG	K03084	Putative	Pfam	PF12535	Putative
Enzyme Commission	2.7.1.29	Putative	KEGG	K15909	Putative	Pfam	PF12536	Putative
Enzyme Commission	2.7.1.30	Putative	KEGG	K01109	Putative	Pfam	PF12555	Putative
Enzyme Commission	2.7.1.31	Putative	KEGG	K00921	Putative	Pfam	PF12621	Putative
Enzyme Commission	2.7.1.32	Putative	KEGG	K01108	Putative	Pfam	PF12689	Putative
Enzyme Commission	2.7.1.33	Putative	KEGG	K18081	Putative	Pfam	PF12766	Putative
Enzyme Commission	2.7.1.34	Putative	KEGG	K18082	Putative	Pfam	PF12850	Putative
Enzyme Commission	2.7.1.35	Putative	KEGG	K18083	Putative	Pfam	PF12900	Putative
Enzyme Commission	2.7.1.36	Putative	KEGG	K18086	Putative	Pfam	PF12974	Putative
Enzyme Commission	2.7.1.39	Putative	KEGG	K00920	Putative	Pfam	PF13089	Putative
Enzyme Commission	2.7.1.40	Putative	KEGG	K13084	Putative	Pfam	PF13090	Putative
Enzyme Commission	2.7.1.41	Putative	KEGG	K00914	Putative	Pfam	PF13231	Putative
Enzyme Commission	2.7.1.42	Putative	KEGG	K00923	Putative	Pfam	PF13286	Putative
Enzyme Commission	2.7.1.43	Putative	KEGG	K05858	Putative	Pfam	PF13292	Putative
Enzyme Commission	2.7.1.44	Putative	KEGG	K05857	Putative	Pfam	PF13303	Putative
Enzyme Commission	2.7.1.45	Putative	KEGG	K05860	Putative	Pfam	PF13350	Putative
Enzyme Commission	2.7.1.46	Putative	KEGG	K01116	Putative	Pfam	PF13396	Putative
Enzyme Commission	2.7.1.47	Putative	KEGG	K05859	Putative	Pfam	PF13597	Putative
Enzyme Commission	2.7.1.48	Putative	KEGG	K05861	Putative	Pfam	PF13653	Putative
Enzyme Commission	2.7.1.49	Putative	KEGG	K00915	Putative	Pfam	PF13672	Putative
Enzyme Commission	2.7.1.50	Putative	KEGG	K00911	Putative	Pfam	PF13690	Putative
Enzyme Commission	2.7.1.51	Putative	KEGG	K01106	Putative	Pfam	PF13714	Putative
Enzyme Commission	2.7.1.52	Putative	KEGG	K00913	Putative	Pfam	PF13793	Putative
Enzyme Commission	2.7.1.53	Putative	KEGG	K10572	Putative	Pfam	PF13883	Putative
Enzyme Commission	2.7.1.54	Putative	KEGG	K19786	Putative	Pfam	PF13914	Putative
Enzyme Commission	2.7.1.55	Putative	KEGG	K07756	Putative	Pfam	PF13916	Putative
Enzyme Commission	2.7.1.56	Putative	KEGG	K13024	Putative	Pfam	PF14008	Putative
Enzyme Commission	2.7.1.58	Putative	KEGG	K01107	Putative	Pfam	PF14010	Putative
Enzyme Commission	2.7.1.59	Putative	KEGG	K15422	Putative	Pfam	PF14313	Putative
Enzyme Commission	2.7.1.60	Putative	KEGG	K01092	Putative	Pfam	PF14320	Putative
Enzyme Commission	2.7.1.61	Putative	KEGG	K10047	Putative	Pfam	PF14566	Putative
Enzyme Commission	2.7.1.62	Putative	KEGG	K18649	Putative	Pfam	PF14572	Putative
Enzyme Commission	2.7.1.63	Putative	KEGG	K15759	Putative	Pfam	PF14582	Putative
Enzyme Commission	2.7.1.64	Putative	KEGG	K00901	Putative	Pfam	PF14665	Putative
Enzyme Commission	2.7.1.65	Putative	KEGG	K00981	Putative	Pfam	PF14671	Putative
Enzyme Commission	2.7.1.66	Putative	KEGG	K00999	Putative	Pfam	PF14681	Putative
Enzyme Commission	2.7.1.67	Putative	KEGG	K04958	Putative	Pfam	PF14682	Putative
Enzyme Commission	2.7.1.68	Putative	KEGG	K04959	Putative	Pfam	PF14703	Putative
Enzyme Commission	2.7.1.71	Putative	KEGG	K04960	Putative	Pfam	PF14719	Putative
Enzyme Commission	2.7.1.72	Putative	KEGG	K02677	Putative	Pfam	PF14724	Putative
Enzyme Commission	2.7.1.73	Putative	KEGG	K19662	Putative	Pfam	PF14793	Putative
Enzyme Commission	2.7.1.74	Putative	KEGG	K19663	Putative	Pfam	PF14829	Putative
Enzyme Commission	2.7.1.76	Putative	KEGG	K02183	Putative	Pfam	PF14860	Putative
Enzyme Commission	2.7.1.77	Putative				Pfam	PF14895	Putative
Enzyme Commission	2.7.1.78	Putative				Pfam	PF15099	Putative
Enzyme Commission	2.7.1.79	Putative				Pfam	PF15159	Putative
Enzyme Commission	2.7.1.80	Putative				Pfam	PF15276	Putative
Enzyme Commission	2.7.1.81	Putative				Pfam	PF15347	Putative
Enzyme Commission	2.7.1.82	Putative				Pfam	PF15439	Putative
Enzyme Commission	2.7.1.83	Putative				Pfam	PF15452	Putative
Enzyme Commission	2.7.1.84	Putative				Pfam	PF15503	Putative
Enzyme Commission	2.7.1.85	Putative				Pfam	PF15609	Putative
Enzyme Commission	2.7.1.86	Putative				Pfam	PF15691	Putative
Enzyme Commission	2.7.1.87	Putative				Pfam	PF15698	Putative
Enzyme Commission	2.7.1.88	Putative				Pfam	PF15713	Putative
Enzyme Commission	2.7.1.89	Putative				Pfam	PF15740	Putative
Enzyme Commission	2.7.1.90	Putative				Pfam	PF15848	Putative
Enzyme Commission	2.7.1.91	Putative				Pfam	PF16209	Putative
Enzyme Commission	2.7.1.92	Putative				Pfam	PF16212	Putative
Enzyme Commission	2.7.1.93	Putative				Pfam	PF16242	Putative
Enzyme Commission	2.7.1.94	Putative				Pfam	PF16276	Putative
Enzyme Commission	2.7.1.95	Putative				Pfam	PF16370	Putative
Enzyme Commission	2.7.1.100	Putative				Pfam	PF16371	Putative
Enzyme Commission	2.7.1.101	Putative				Pfam	PF16454	Putative
Enzyme Commission	2.7.1.102	Putative				Pfam	PF16565	Putative
Enzyme Commission	2.7.1.103	Putative				Pfam	PF16582	Putative
Enzyme Commission	2.7.1.105	Putative				Pfam	PF16607	Putative
Enzyme Commission	2.7.1.106	Putative				Pfam	PF16655	Putative
Enzyme Commission	2.7.1.107	Putative				Pfam	PF16656	Putative
Enzyme Commission	2.7.1.108	Putative				Pfam	PF16670	Putative
Enzyme Commission	2.7.1.113	Putative				Pfam	PF16726	Putative
Enzyme Commission	2.7.1.114	Putative				Pfam	PF16776	Putative
Enzyme Commission	2.7.1.118	Putative				Pfam	PF16891	Putative
Enzyme Commission	2.7.1.119	Putative				Pfam	PF16896	Putative
Enzyme Commission	2.7.1.121	Putative				Pfam	PF16901	Putative
Enzyme Commission	2.7.1.122	Putative				Pfam	PF16904	Putative
Enzyme Commission	2.7.1.127	Putative				Pfam	PF17297	Putative
Enzyme Commission	2.7.1.130	Putative				Pfam	PF17385	Putative
Enzyme Commission	2.7.1.134	Putative				Pfam	PF17386	Putative
Enzyme Commission	2.7.1.136	Putative				Pfam	PF17767	Putative
Enzyme Commission	2.7.1.137	Putative				Pfam	PF17769	Putative
Enzyme Commission	2.7.1.138	Putative				Pfam	PF17773	Putative
Enzyme Commission	2.7.1.140	Putative				Pfam	PF17808	Putative
Enzyme Commission	2.7.1.142	Putative				Pfam	PF17837	Putative
Enzyme Commission	2.7.1.143	Putative				Pfam	PF17839	Putative
Enzyme Commission	2.7.1.144	Putative				Pfam	PF17927	Putative
Enzyme Commission	2.7.1.145	Putative				Pfam	PF17941	Putative
Enzyme Commission	2.7.1.146	Putative				Pfam	PF17956	Putative
Enzyme Commission	2.7.1.147	Putative				Pfam	PF17987	Putative
Enzyme Commission	2.7.1.148	Putative				Pfam	PF18006	Putative
Enzyme Commission	2.7.1.149	Putative				Pfam	PF18086	Putative
Enzyme Commission	2.7.1.150	Putative				Pfam	PF18100	Putative
Enzyme Commission	2.7.1.151	Putative				Pfam	PF18127	Putative
Enzyme Commission	2.7.1.153	Putative				Pfam	PF18353	Putative
Enzyme Commission	2.7.1.154	Putative				Pfam	PF18363	Putative
Enzyme Commission	2.7.1.156	Putative				Pfam	PF18365	Putative
Enzyme Commission	2.7.1.157	Putative				Pfam	PF18376	Putative
Enzyme Commission	2.7.1.158	Putative				Pfam	PF18440	Putative
Enzyme Commission	2.7.1.159	Putative				Pfam	PF18468	Putative
Enzyme Commission	2.7.1.160	Putative				Pfam	PF18572	Putative
Enzyme Commission	2.7.1.161	Putative				Pfam	PF18695	Putative
Enzyme Commission	2.7.1.162	Putative				Pfam	PF18706	Putative
Enzyme Commission	2.7.1.163	Putative				Pfam	PF18723	Putative
Enzyme Commission	2.7.1.165	Putative				Pfam	PF18724	Putative
Enzyme Commission	2.7.1.166	Putative				Pfam	PF18746	Putative
Enzyme Commission	2.7.1.167	Putative				Pfam	PF18801	Putative
Enzyme Commission	2.7.1.168	Putative				Pfam	PF18823	Putative
Enzyme Commission	2.7.1.169	Putative				Pfam	PF18861	Putative
Enzyme Commission	2.7.1.170	Putative				Pfam	PF18909	Putative
Enzyme Commission	2.7.1.171	Putative				Pfam	PF18913	Putative
Enzyme Commission	2.7.1.172	Putative				Pfam	PF19050	Putative
Enzyme Commission	2.7.1.173	Putative				Pfam	PF19200	Putative
Enzyme Commission	2.7.1.174	Putative				Pfam	PF19272	Putative
Enzyme Commission	2.7.1.175	Putative				Pfam	PF19277	Putative
Enzyme Commission	2.7.1.176	Putative				Pfam	PF19292	Putative
Enzyme Commission	2.7.1.177	Putative				Pfam	PF19304	Putative
Enzyme Commission	2.7.1.178	Putative				Pfam	PF19316	Putative
Enzyme Commission	2.7.1.179	Putative				Pfam	PF19327	Putative
Enzyme Commission	2.7.1.180	Putative				Pfam	PF19580	Putative
Enzyme Commission	2.7.1.181	Putative				Pfam	PF20171	Putative
Enzyme Commission	2.7.1.182	Putative				Pfam	PF20274	Putative
Enzyme Commission	2.7.1.183	Putative				Pfam	PF20423	Putative
Enzyme Commission	2.7.1.184	Putative				Pfam	PF20511	Putative
Enzyme Commission	2.7.1.185	Putative				Pfam	PF20512	Putative
Enzyme Commission	2.7.1.186	Putative						
Enzyme Commission	2.7.1.187	Putative						
Enzyme Commission	2.7.1.188	Putative						
Enzyme Commission	2.7.1.189	Putative						
Enzyme Commission	2.7.1.190	Putative						
Enzyme Commission	2.7.1.191	Putative						
Enzyme Commission	2.7.1.192	Putative						
Enzyme Commission	2.7.1.193	Putative						
Enzyme Commission	2.7.1.194	Putative						
Enzyme Commission	2.7.1.195	Putative						
Enzyme Commission	2.7.1.196	Putative						
Enzyme Commission	2.7.1.197	Putative						
Enzyme Commission	2.7.1.198	Putative						
Enzyme Commission	2.7.1.199	Putative						
Enzyme Commission	2.7.1.200	Putative						
Enzyme Commission	2.7.1.201	Putative						
Enzyme Commission	2.7.1.202	Putative						
Enzyme Commission	2.7.1.203	Putative						
Enzyme Commission	2.7.1.204	Putative						
Enzyme Commission	2.7.1.205	Putative						
Enzyme Commission	2.7.1.206	Putative						
Enzyme Commission	2.7.1.207	Putative						
Enzyme Commission	2.7.1.208	Putative						
Enzyme Commission	2.7.1.209	Putative						
Enzyme Commission	2.7.1.210	Putative						
Enzyme Commission	2.7.1.211	Putative						
Enzyme Commission	2.7.1.212	Putative						
Enzyme Commission	2.7.1.213	Putative						
Enzyme Commission	2.7.1.214	Putative						
Enzyme Commission	2.7.1.215	Putative						
Enzyme Commission	2.7.1.216	Putative						
Enzyme Commission	2.7.1.217	Putative						
Enzyme Commission	2.7.1.218	Putative						
Enzyme Commission	2.7.1.219	Putative						
Enzyme Commission	2.7.1.220	Putative						
Enzyme Commission	2.7.1.221	Putative						
Enzyme Commission	2.7.1.222	Putative						
Enzyme Commission	2.7.1.223	Putative						
Enzyme Commission	2.7.1.224	Putative						
Enzyme Commission	2.7.1.225	Putative						
Enzyme Commission	2.7.1.226	Putative						
Enzyme Commission	2.7.1.227	Putative						
Enzyme Commission	2.7.1.228	Putative						
Enzyme Commission	2.7.1.229	Putative						
Enzyme Commission	2.7.1.230	Putative						
Enzyme Commission	2.7.1.231	Putative						
Enzyme Commission	2.7.1.232	Putative						
Enzyme Commission	2.7.1.233	Putative						
Enzyme Commission	2.7.1.234	Putative						
Enzyme Commission	2.7.1.235	Putative						
Enzyme Commission	2.7.1.236	Putative						
Enzyme Commission	2.7.1.-	Putative						
Enzyme Commission	2.7.2.1	Putative						
Enzyme Commission	2.7.2.2	Putative						
Enzyme Commission	2.7.2.3	Putative						
Enzyme Commission	2.7.2.4	Putative						
Enzyme Commission	2.7.2.6	Putative						
Enzyme Commission	2.7.2.7	Putative						
Enzyme Commission	2.7.2.8	Putative						
Enzyme Commission	2.7.2.10	Putative						
Enzyme Commission	2.7.2.11	Putative						
Enzyme Commission	2.7.2.12	Putative						
Enzyme Commission	2.7.2.14	Putative						
Enzyme Commission	2.7.2.15	Putative						
Enzyme Commission	2.7.2.16	Putative						
Enzyme Commission	2.7.2.17	Putative						
Enzyme Commission	2.7.2.18	Putative						
Enzyme Commission	2.7.2.-	Putative						
Enzyme Commission	2.7.3.1	Putative						
Enzyme Commission	2.7.3.2	Putative						
Enzyme Commission	2.7.3.3	Putative						
Enzyme Commission	2.7.3.4	Putative						
Enzyme Commission	2.7.3.5	Putative						
Enzyme Commission	2.7.3.6	Putative						
Enzyme Commission	2.7.3.7	Putative						
Enzyme Commission	2.7.3.8	Putative						
Enzyme Commission	2.7.3.9	Putative						
Enzyme Commission	2.7.3.10	Putative						
Enzyme Commission	2.7.3.13	Putative						
Enzyme Commission	2.7.4.1	Putative						
Enzyme Commission	2.7.4.2	Putative						
Enzyme Commission	2.7.4.3	Putative						
Enzyme Commission	2.7.4.4	Putative						
Enzyme Commission	2.7.4.6	Putative						
Enzyme Commission	2.7.4.7	Putative						
Enzyme Commission	2.7.4.8	Putative						
Enzyme Commission	2.7.4.9	Putative						
Enzyme Commission	2.7.4.10	Putative						
Enzyme Commission	2.7.4.11	Putative						
Enzyme Commission	2.7.4.12	Putative						
Enzyme Commission	2.7.4.13	Putative						
Enzyme Commission	2.7.4.14	Putative						
Enzyme Commission	2.7.4.15	Putative						
Enzyme Commission	2.7.4.16	Putative						
Enzyme Commission	2.7.4.17	Putative						
Enzyme Commission	2.7.4.18	Putative						
Enzyme Commission	2.7.4.19	Putative						
Enzyme Commission	2.7.4.20	Putative						
Enzyme Commission	2.7.4.21	Putative						
Enzyme Commission	2.7.4.22	Putative						
Enzyme Commission	2.7.4.23	Putative						
Enzyme Commission	2.7.4.24	Putative						
Enzyme Commission	2.7.4.25	Putative						
Enzyme Commission	2.7.4.26	Putative						
Enzyme Commission	2.7.4.27	Putative						
Enzyme Commission	2.7.4.28	Putative						
Enzyme Commission	2.7.4.29	Putative						
Enzyme Commission	2.7.4.31	Putative						
Enzyme Commission	2.7.4.32	Putative						
Enzyme Commission	2.7.4.33	Putative						
Enzyme Commission	2.7.4.34	Putative						
Enzyme Commission	2.7.4.-	Putative						
Enzyme Commission	2.7.6.1	Putative						
Enzyme Commission	2.7.6.2	Putative						
Enzyme Commission	2.7.6.3	Putative						
Enzyme Commission	2.7.6.4	Putative						
Enzyme Commission	2.7.6.5	Putative						
Enzyme Commission	2.7.7.1	Putative						
Enzyme Commission	2.7.7.2	Putative						
Enzyme Commission	2.7.7.3	Putative						
Enzyme Commission	2.7.7.4	Putative						
Enzyme Commission	2.7.7.5	Putative						
Enzyme Commission	2.7.7.8	Putative						
Enzyme Commission	2.7.7.9	Putative						
Enzyme Commission	2.7.7.10	Putative						
Enzyme Commission	2.7.7.11	Putative						
Enzyme Commission	2.7.7.12	Putative						
Enzyme Commission	2.7.7.13	Putative						
Enzyme Commission	2.7.7.14	Putative						
Enzyme Commission	2.7.7.15	Putative						
Enzyme Commission	2.7.7.18	Putative						
Enzyme Commission	2.7.7.19	Putative						
Enzyme Commission	2.7.7.22	Putative						
Enzyme Commission	2.7.7.23	Putative						
Enzyme Commission	2.7.7.24	Putative						
Enzyme Commission	2.7.7.27	Putative						
Enzyme Commission	2.7.7.28	Putative						
Enzyme Commission	2.7.7.30	Putative						
Enzyme Commission	2.7.7.32	Putative						
Enzyme Commission	2.7.7.33	Putative						
Enzyme Commission	2.7.7.34	Putative						
Enzyme Commission	2.7.7.35	Putative						
Enzyme Commission	2.7.7.36	Putative						
Enzyme Commission	2.7.7.37	Putative						
Enzyme Commission	2.7.7.38	Putative						
Enzyme Commission	2.7.7.39	Putative						
Enzyme Commission	2.7.7.40	Putative						
Enzyme Commission	2.7.7.41	Putative						
Enzyme Commission	2.7.7.42	Putative						
Enzyme Commission	2.7.7.43	Putative						
Enzyme Commission	2.7.7.44	Putative						
Enzyme Commission	2.7.7.45	Putative						
Enzyme Commission	2.7.7.46	Putative						
Enzyme Commission	2.7.7.47	Putative						
Enzyme Commission	2.7.7.51	Putative						
Enzyme Commission	2.7.7.53	Putative						
Enzyme Commission	2.7.7.57	Putative						
Enzyme Commission	2.7.7.59	Putative						
Enzyme Commission	2.7.7.60	Putative						
Enzyme Commission	2.7.7.61	Putative						
Enzyme Commission	2.7.7.62	Putative						
Enzyme Commission	2.7.7.64	Putative						
Enzyme Commission	2.7.7.65	Putative						
Enzyme Commission	2.7.7.66	Putative						
Enzyme Commission	2.7.7.67	Putative						
Enzyme Commission	2.7.7.68	Putative						
Enzyme Commission	2.7.7.69	Putative						
Enzyme Commission	2.7.7.70	Putative						
Enzyme Commission	2.7.7.71	Putative						
Enzyme Commission	2.7.7.73	Putative						
Enzyme Commission	2.7.7.74	Putative						
Enzyme Commission	2.7.7.75	Putative						
Enzyme Commission	2.7.7.76	Putative						
Enzyme Commission	2.7.7.77	Putative						
Enzyme Commission	2.7.7.78	Putative						
Enzyme Commission	2.7.7.80	Putative						
Enzyme Commission	2.7.7.81	Putative						
Enzyme Commission	2.7.7.82	Putative						
Enzyme Commission	2.7.7.83	Putative						
Enzyme Commission	2.7.7.84	Putative						
Enzyme Commission	2.7.7.85	Putative						
Enzyme Commission	2.7.7.86	Putative						
Enzyme Commission	2.7.7.87	Putative						
Enzyme Commission	2.7.7.88	Putative						
Enzyme Commission	2.7.7.89	Putative						
Enzyme Commission	2.7.7.90	Putative						
Enzyme Commission	2.7.7.91	Putative						
Enzyme Commission	2.7.7.92	Putative						
Enzyme Commission	2.7.7.93	Putative						
Enzyme Commission	2.7.7.96	Putative						
Enzyme Commission	2.7.7.97	Putative						
Enzyme Commission	2.7.7.99	Putative						
Enzyme Commission	2.7.7.100	Putative						
Enzyme Commission	2.7.7.103	Putative						
Enzyme Commission	2.7.7.104	Putative						
Enzyme Commission	2.7.7.105	Putative						
Enzyme Commission	2.7.7.106	Putative						
Enzyme Commission	2.7.7.107	Putative						
Enzyme Commission	2.7.7.-	Putative						
Enzyme Commission	2.7.8.1	Putative						
Enzyme Commission	2.7.8.2	Putative						
Enzyme Commission	2.7.8.3	Putative						
Enzyme Commission	2.7.8.4	Putative						
Enzyme Commission	2.7.8.5	Putative						
Enzyme Commission	2.7.8.6	Putative						
Enzyme Commission	2.7.8.7	Putative						
Enzyme Commission	2.7.8.8	Putative						
Enzyme Commission	2.7.8.9	Putative						
Enzyme Commission	2.7.8.10	Putative						
Enzyme Commission	2.7.8.11	Putative						
Enzyme Commission	2.7.8.12	Putative						
Enzyme Commission	2.7.8.13	Putative						
Enzyme Commission	2.7.8.14	Putative						
Enzyme Commission	2.7.8.15	Putative						
Enzyme Commission	2.7.8.17	Putative						
Enzyme Commission	2.7.8.18	Putative						
Enzyme Commission	2.7.8.19	Putative						
Enzyme Commission	2.7.8.20	Putative						
Enzyme Commission	2.7.8.21	Putative						
Enzyme Commission	2.7.8.22	Putative						
Enzyme Commission	2.7.8.23	Putative						
Enzyme Commission	2.7.8.24	Putative						
Enzyme Commission	2.7.8.26	Putative						
Enzyme Commission	2.7.8.27	Putative						
Enzyme Commission	2.7.8.28	Putative						
Enzyme Commission	2.7.8.29	Putative						
Enzyme Commission	2.7.8.31	Putative						
Enzyme Commission	2.7.8.32	Putative						
Enzyme Commission	2.7.8.33	Putative						
Enzyme Commission	2.7.8.34	Putative						
Enzyme Commission	2.7.8.35	Putative						
Enzyme Commission	2.7.8.36	Putative						
Enzyme Commission	2.7.8.37	Putative						
Enzyme Commission	2.7.8.38	Putative						
Enzyme Commission	2.7.8.39	Putative						
Enzyme Commission	2.7.8.40	Putative						
Enzyme Commission	2.7.8.41	Putative						
Enzyme Commission	2.7.8.42	Putative						
Enzyme Commission	2.7.8.43	Putative						
Enzyme Commission	2.7.8.44	Putative						
Enzyme Commission	2.7.8.45	Putative						
Enzyme Commission	2.7.8.46	Putative						
Enzyme Commission	2.7.8.47	Putative						
Enzyme Commission	2.7.8.-	Putative						
Enzyme Commission	2.7.9.1	Putative						
Enzyme Commission	2.7.9.2	Putative						
Enzyme Commission	2.7.9.3	Putative						
Enzyme Commission	2.7.9.4	Putative						
Enzyme Commission	2.7.9.5	Putative						
Enzyme Commission	2.7.9.6	Putative						
Enzyme Commission	2.7.9.-	Putative						
Enzyme Commission	2.7.10.1	Putative						
Enzyme Commission	2.7.10.2	Putative						
Enzyme Commission	2.7.10.3	Putative						
Enzyme Commission	2.7.11.1	Putative						
Enzyme Commission	2.7.11.2	Putative						
Enzyme Commission	2.7.11.3	Putative						
Enzyme Commission	2.7.11.4	Putative						
Enzyme Commission	2.7.11.5	Putative						
Enzyme Commission	2.7.11.6	Putative						
Enzyme Commission	2.7.11.7	Putative						
Enzyme Commission	2.7.11.8	Putative						
Enzyme Commission	2.7.11.9	Putative						
Enzyme Commission	2.7.11.10	Putative						
Enzyme Commission	2.7.11.11	Putative						
Enzyme Commission	2.7.11.12	Putative						
Enzyme Commission	2.7.11.13	Putative						
Enzyme Commission	2.7.11.14	Putative						
Enzyme Commission	2.7.11.15	Putative						
Enzyme Commission	2.7.11.16	Putative						
Enzyme Commission	2.7.11.17	Putative						
Enzyme Commission	2.7.11.18	Putative						
Enzyme Commission	2.7.11.19	Putative						
Enzyme Commission	2.7.11.20	Putative						
Enzyme Commission	2.7.11.21	Putative						
Enzyme Commission	2.7.11.22	Putative						
Enzyme Commission	2.7.11.24	Putative						
Enzyme Commission	2.7.11.25	Putative						
Enzyme Commission	2.7.11.26	Putative						
Enzyme Commission	2.7.11.27	Putative						
Enzyme Commission	2.7.11.28	Putative						
Enzyme Commission	2.7.11.29	Putative						
