Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 
Enzyme Commission	1.3.1.101	Putative	KEGG	K05091	Putative	Pfam	PF00834	Putative
Enzyme Commission	1.3.1.113	Putative	KEGG	K04527	Putative	Pfam	PF00878	Putative
Enzyme Commission	1.3.7.11	Putative	KEGG	K04364	Putative	Pfam	PF00882	Putative
Enzyme Commission	1.4.3.5	Putative	KEGG	K09593	Putative	Pfam	PF00922	Putative
Enzyme Commission	1.5.3.23	Putative	KEGG	K08091	Putative	Pfam	PF00923	Putative
Enzyme Commission	1.8.4.8	Putative	KEGG	K06279	Putative	Pfam	PF00926	Putative
Enzyme Commission	1.11.1.12	Putative	KEGG	K17447	Putative	Pfam	PF00988	Putative
Enzyme Commission	1.11.1.23	Putative	KEGG	K17448	Putative	Pfam	PF01048	Putative
Enzyme Commission	1.13.11.72	Putative	KEGG	K17449	Putative	Pfam	PF01050	Putative
Enzyme Commission	1.13.11.73	Putative	KEGG	K07293	Putative	Pfam	PF01066	Putative
Enzyme Commission	1.13.11.78	Putative	KEGG	K03099	Putative	Pfam	PF01071	Putative
Enzyme Commission	1.13.11.89	Putative	KEGG	K02833	Putative	Pfam	PF01087	Putative
Enzyme Commission	1.13.11.90	Putative	KEGG	K07827	Putative	Pfam	PF01116	Putative
Enzyme Commission	1.14.11.46	Putative	KEGG	K07828	Putative	Pfam	PF01121	Putative
Enzyme Commission	1.14.11.49	Putative	KEGG	K07831	Putative	Pfam	PF01128	Putative
Enzyme Commission	1.14.11.71	Putative	KEGG	K07829	Putative	Pfam	PF01137	Putative
Enzyme Commission	1.14.11.72	Putative	KEGG	K07830	Putative	Pfam	PF01150	Putative
Enzyme Commission	1.14.18.4	Putative	KEGG	K08732	Putative	Pfam	PF01161	Putative
Enzyme Commission	1.17.7.1	Putative	KEGG	K07834	Putative	Pfam	PF01182	Putative
Enzyme Commission	1.17.7.3	Putative	KEGG	K07835	Putative	Pfam	PF01210	Putative
Enzyme Commission	1.17.7.4	Putative	KEGG	K00922	Putative	Pfam	PF01238	Putative
Enzyme Commission	1.20.1.1	Putative	KEGG	K02649	Putative	Pfam	PF01243	Putative
Enzyme Commission	1.20.2.1	Putative	KEGG	K04456	Putative	Pfam	PF01255	Putative
Enzyme Commission	1.20.4.1	Putative	KEGG	K07206	Putative	Pfam	PF01288	Putative
Enzyme Commission	1.20.4.2	Putative	KEGG	K07207	Putative	Pfam	PF01293	Putative
Enzyme Commission	1.20.4.3	Putative	KEGG	K07208	Putative	Pfam	PF01326	Putative
Enzyme Commission	1.20.4.4	Putative	KEGG	K07203	Putative	Pfam	PF01384	Putative
Enzyme Commission	1.20.9.1	Putative	KEGG	K04513	Putative	Pfam	PF01451	Putative
Enzyme Commission	1.20.99.1	Putative	KEGG	K07937	Putative	Pfam	PF01502	Putative
Enzyme Commission	2.1.1.16	Putative	KEGG	K07941	Putative	Pfam	PF01503	Putative
Enzyme Commission	2.1.1.17	Putative	KEGG	K01116	Putative	Pfam	PF01504	Putative
Enzyme Commission	2.1.1.71	Putative	KEGG	K05859	Putative	Pfam	PF01507	Putative
Enzyme Commission	2.1.1.79	Putative	KEGG	K06856	Putative	Pfam	PF01515	Putative
Enzyme Commission	2.1.1.103	Putative	KEGG	K08089	Putative	Pfam	PF01591	Putative
Enzyme Commission	2.1.1.127	Putative	KEGG	K08090	Putative	Pfam	PF01603	Putative
Enzyme Commission	2.1.1.233	Putative	KEGG	K07983	Putative	Pfam	PF01634	Putative
Enzyme Commission	2.1.1.255	Putative	KEGG	K05703	Putative	Pfam	PF01636	Putative
Enzyme Commission	2.1.1.259	Putative	KEGG	K05855	Putative	Pfam	PF01648	Putative
Enzyme Commission	2.1.1.294	Putative	KEGG	K02677	Putative	Pfam	PF01658	Putative
Enzyme Commission	2.1.1.308	Putative	KEGG	K01115	Putative	Pfam	PF01663	Putative
Enzyme Commission	2.1.1.318	Putative	KEGG	K16342	Putative	Pfam	PF01704	Putative
Enzyme Commission	2.1.1.326	Putative	KEGG	K13509	Putative	Pfam	PF01729	Putative
Enzyme Commission	2.1.2.2	Putative	KEGG	K13523	Putative	Pfam	PF01734	Putative
Enzyme Commission	2.1.2.3	Putative	KEGG	K19007	Putative	Pfam	PF01735	Putative
Enzyme Commission	2.1.4.2	Putative	KEGG	K04718	Putative	Pfam	PF01806	Putative
Enzyme Commission	2.2.1.4	Putative	KEGG	K04366	Putative	Pfam	PF01874	Putative
Enzyme Commission	2.2.1.7	Putative	KEGG	K04368	Putative	Pfam	PF01885	Putative
Enzyme Commission	2.2.1.11	Putative	KEGG	K04369	Putative	Pfam	PF01933	Putative
Enzyme Commission	2.2.1.13	Putative	KEGG	K04371	Putative	Pfam	PF01937	Putative
Enzyme Commission	2.3.1.4	Putative	KEGG	K00889	Putative	Pfam	PF01950	Putative
Enzyme Commission	2.3.1.8	Putative	KEGG	K00901	Putative	Pfam	PF01973	Putative
Enzyme Commission	2.3.1.15	Putative	KEGG	K01080	Putative	Pfam	PF02006	Putative
Enzyme Commission	2.3.1.19	Putative	KEGG	K01313	Putative	Pfam	PF02112	Putative
Enzyme Commission	2.3.1.23	Putative	KEGG	K09821	Putative	Pfam	PF02114	Putative
Enzyme Commission	2.3.1.40	Putative	KEGG	K05242	Putative	Pfam	PF02121	Putative
Enzyme Commission	2.3.1.42	Putative	KEGG	K10030	Putative	Pfam	PF02126	Putative
Enzyme Commission	2.3.1.43	Putative	KEGG	K04166	Putative	Pfam	PF02157	Putative
Enzyme Commission	2.3.1.51	Putative	KEGG	K03914	Putative	Pfam	PF02230	Putative
Enzyme Commission	2.3.1.52	Putative	KEGG	K04603	Putative	Pfam	PF02253	Putative
Enzyme Commission	2.3.1.62	Putative	KEGG	K04605	Putative	Pfam	PF02277	Putative
Enzyme Commission	2.3.1.63	Putative	KEGG	K04606	Putative	Pfam	PF02283	Putative
Enzyme Commission	2.3.1.67	Putative	KEGG	K04607	Putative	Pfam	PF02358	Putative
Enzyme Commission	2.3.1.83	Putative	KEGG	K04604	Putative	Pfam	PF02366	Putative
Enzyme Commission	2.3.1.105	Putative	KEGG	K04608	Putative	Pfam	PF02378	Putative
Enzyme Commission	2.3.1.121	Putative	KEGG	K04609	Putative	Pfam	PF02478	Putative
Enzyme Commission	2.3.1.135	Putative	KEGG	K04610	Putative	Pfam	PF02503	Putative
Enzyme Commission	2.3.1.147	Putative	KEGG	K04226	Putative	Pfam	PF02541	Putative
Enzyme Commission	2.3.1.148	Putative	KEGG	K04227	Putative	Pfam	PF02581	Putative
Enzyme Commission	2.3.1.157	Putative	KEGG	K04228	Putative	Pfam	PF02611	Putative
Enzyme Commission	2.3.1.158	Putative	KEGG	K04289	Putative	Pfam	PF02654	Putative
Enzyme Commission	2.3.1.183	Putative	KEGG	K04291	Putative	Pfam	PF02660	Putative
Enzyme Commission	2.3.1.198	Putative	KEGG	K04294	Putative	Pfam	PF02666	Putative
Enzyme Commission	2.3.1.222	Putative	KEGG	K04275	Putative	Pfam	PF02670	Putative
Enzyme Commission	2.3.1.245	Putative	KEGG	K08390	Putative	Pfam	PF02679	Putative
Enzyme Commission	2.3.1.265	Putative	KEGG	K04273	Putative	Pfam	PF02700	Putative
Enzyme Commission	2.3.1.274	Putative	KEGG	K04262	Putative	Pfam	PF02714	Putative
Enzyme Commission	2.3.1.275	Putative	KEGG	K04175	Putative	Pfam	PF02744	Putative
Enzyme Commission	2.3.1.276	Putative	KEGG	K05050	Putative	Pfam	PF02749	Putative
Enzyme Commission	2.3.1.277	Putative	KEGG	K05858	Putative	Pfam	PF02775	Putative
Enzyme Commission	2.3.1.280	Putative	KEGG	K04346	Putative	Pfam	PF02776	Putative
Enzyme Commission	2.3.2.11	Putative	KEGG	K05871	Putative	Pfam	PF02781	Putative
Enzyme Commission	2.3.2.17	Putative	KEGG	K04639	Putative	Pfam	PF02786	Putative
Enzyme Commission	2.3.2.18	Putative	KEGG	K21289	Putative	Pfam	PF02787	Putative
Enzyme Commission	2.3.3.18	Putative	KEGG	K21290	Putative	Pfam	PF02788	Putative
Enzyme Commission	2.3.3.19	Putative	KEGG	K18441	Putative	Pfam	PF02800	Putative
Enzyme Commission	2.4.1.1	Putative	KEGG	K04632	Putative	Pfam	PF02807	Putative
Enzyme Commission	2.4.1.7	Putative	KEGG	K08041	Putative	Pfam	PF02834	Putative
Enzyme Commission	2.4.1.8	Putative	KEGG	K08042	Putative	Pfam	PF02843	Putative
Enzyme Commission	2.4.1.14	Putative	KEGG	K08043	Putative	Pfam	PF02844	Putative
Enzyme Commission	2.4.1.15	Putative	KEGG	K08044	Putative	Pfam	PF02878	Putative
Enzyme Commission	2.4.1.20	Putative	KEGG	K08045	Putative	Pfam	PF02879	Putative
Enzyme Commission	2.4.1.30	Putative	KEGG	K00006	Putative	Pfam	PF02880	Putative
Enzyme Commission	2.4.1.31	Putative	KEGG	K00057	Putative	Pfam	PF02988	Putative
Enzyme Commission	2.4.1.36	Putative	KEGG	K00105	Putative	Pfam	PF03009	Putative
Enzyme Commission	2.4.1.49	Putative	KEGG	K00111	Putative	Pfam	PF03012	Putative
Enzyme Commission	2.4.1.52	Putative	KEGG	K00112	Putative	Pfam	PF03030	Putative
Enzyme Commission	2.4.1.53	Putative	KEGG	K00113	Putative	Pfam	PF03031	Putative
Enzyme Commission	2.4.1.54	Putative	KEGG	K00629	Putative	Pfam	PF03034	Putative
Enzyme Commission	2.4.1.64	Putative	KEGG	K13506	Putative	Pfam	PF03066	Putative
Enzyme Commission	2.4.1.70	Putative	KEGG	K13507	Putative	Pfam	PF03095	Putative
Enzyme Commission	2.4.1.78	Putative	KEGG	K00630	Putative	Pfam	PF03151	Putative
Enzyme Commission	2.4.1.83	Putative	KEGG	K13508	Putative	Pfam	PF03162	Putative
Enzyme Commission	2.4.1.96	Putative	KEGG	K00631	Putative	Pfam	PF03210	Putative
Enzyme Commission	2.4.1.97	Putative	KEGG	K08591	Putative	Pfam	PF03320	Putative
Enzyme Commission	2.4.1.109	Putative	KEGG	K00655	Putative	Pfam	PF03332	Putative
Enzyme Commission	2.4.1.117	Putative	KEGG	K13509	Putative	Pfam	PF03372	Putative
Enzyme Commission	2.4.1.137	Putative	KEGG	K13523	Putative	Pfam	PF03407	Putative
Enzyme Commission	2.4.1.141	Putative	KEGG	K19007	Putative	Pfam	PF03446	Putative
Enzyme Commission	2.4.1.142	Putative	KEGG	K13513	Putative	Pfam	PF03507	Putative
Enzyme Commission	2.4.1.153	Putative	KEGG	K13517	Putative	Pfam	PF03612	Putative
Enzyme Commission	2.4.1.187	Putative	KEGG	K13519	Putative	Pfam	PF03618	Putative
Enzyme Commission	2.4.1.188	Putative	KEGG	K14674	Putative	Pfam	PF03706	Putative
Enzyme Commission	2.4.1.198	Putative	KEGG	K22831	Putative	Pfam	PF03740	Putative
Enzyme Commission	2.4.1.199	Putative	KEGG	K00649	Putative	Pfam	PF03767	Putative
Enzyme Commission	2.4.1.211	Putative	KEGG	K06123	Putative	Pfam	PF03770	Putative
Enzyme Commission	2.4.1.213	Putative	KEGG	K00980	Putative	Pfam	PF03802	Putative
Enzyme Commission	2.4.1.216	Putative	KEGG	K01517	Putative	Pfam	PF03819	Putative
Enzyme Commission	2.4.1.217	Putative	KEGG	K01080	Putative	Pfam	PF03894	Putative
Enzyme Commission	2.4.1.227	Putative	KEGG	K15728	Putative	Pfam	PF03976	Putative
Enzyme Commission	2.4.1.230	Putative	KEGG	K18693	Putative	Pfam	PF04029	Putative
Enzyme Commission	2.4.1.231	Putative	KEGG	K00901	Putative	Pfam	PF04041	Putative
Enzyme Commission	2.4.1.246	Putative	KEGG	K07029	Putative	Pfam	PF04095	Putative
Enzyme Commission	2.4.1.247	Putative	KEGG	K16368	Putative	Pfam	PF04131	Putative
Enzyme Commission	2.4.1.250	Putative	KEGG	K00994	Putative	Pfam	PF04166	Putative
Enzyme Commission	2.4.1.251	Putative	KEGG	K13644	Putative	Pfam	PF04185	Putative
Enzyme Commission	2.4.1.252	Putative	KEGG	K01114	Putative	Pfam	PF04191	Putative
Enzyme Commission	2.4.1.264	Putative	KEGG	K16619	Putative	Pfam	PF04263	Putative
Enzyme Commission	2.4.1.266	Putative	KEGG	K18694	Putative	Pfam	PF04265	Putative
Enzyme Commission	2.4.1.270	Putative	KEGG	K01115	Putative	Pfam	PF04272	Putative
Enzyme Commission	2.4.1.279	Putative	KEGG	K16860	Putative	Pfam	PF04273	Putative
Enzyme Commission	2.4.1.280	Putative	KEGG	K17717	Putative	Pfam	PF04275	Putative
Enzyme Commission	2.4.1.281	Putative	KEGG	K00650	Putative	Pfam	PF04309	Putative
Enzyme Commission	2.4.1.282	Putative	KEGG	K01047	Putative	Pfam	PF04336	Putative
Enzyme Commission	2.4.1.287	Putative	KEGG	K16342	Putative	Pfam	PF04344	Putative
