SampleID,Plot,Gradient,Elevation_est,Elev_cat,Elevation_m,Date,SSU_SID,metaG_SID,metaG_SID2,Week,DayofYear,GWC,SOC.percent,pH,phosphate.g.g-1,NH4.ug.g-1,AM_hyphal_length_mm g-1,MBC.g.kg,sand.percent,silt.percent,clay.percent,texture_class,bulk_density,Lat,Long
TR_37_wk_2,TR_37,TR,3700,high,3697.75,7/9/18,RMBL_DOESnowmelt_TR37_709,3300041788,Ga0450699,2,190,0.13,1.07,7.27,1.15,1.36,2026.77431,2.99,,,,clay loam,1.01,38.9999325,-107.0843
TR_37_wk_3,TR_37,TR,3700,high,3697.75,7/16/18,RMBL_DOESnowmelt_TR37_717,3300041804,Ga0450717,3,197,0.15,1.08,7.08,0.54,2,2235.73724,12.47,,,,clay loam,0.8,38.9999325,-107.0843
TR_37_wk_4,TR_37,TR,3700,high,3697.75,7/23/18,RMBL_DOESnowmelt_TR37_723,3300041821,Ga0450735,4,204,0.11,1.19,6.78,,8.07,1281.61289,,,,,clay loam,1.17,38.9999325,-107.0843
TR_37_wk_5,TR_37,TR,3700,high,3697.75,8/6/18,RMBL_DOESnowmelt_TR37_806,3300041870,Ga0450753,5,218,0.16,1.12,6.64,,14.54,1358.5071,3.14,,,,clay loam,0.77,38.9999325,-107.0843
TR_37_wk_1,TR_37,TR,3700,high,3697.75,7/2/18,RMBL_DOESnowmelt_TR37_702,NA,NA,1,183,0.05,1.67,6.6,,0.3,1472.17722,15.05,39.66,27.43,32.91,clay loam,1.11,38.9999325,-107.0843
R_37_wk_2.5,R_37,R,3700,high,3723,7/13/18,NA,NA,NA,2.5,194,0.12,1.31,5.01,4.89,0.78,,23.69,,,,,,38.8991597,-107.12836
C_37_wk_2,C_37,C,3700,high,3726,7/9/18,RMBL_DOESnowmelt_C37_709,3300041783,Ga0450693,2,190,0.14,1.18,5.17,1.3,0.54,5344.95848,15.54,,,,clay loam,0.98,38.99495,-107.07043
C_37_wk_3,C_37,C,3700,high,3726,7/16/18,RMBL_DOESnowmelt_C37_717,3300041799,Ga0450711,3,197,0.16,1.07,5.29,0.74,1.5,11962.4596,5.55,,,,clay loam,0.82,38.99495,-107.07043
C_37_wk_4,C_37,C,3700,high,3726,7/23/18,RMBL_DOESnowmelt_C37_723,3300041815,Ga0450729,4,204,0.08,1.15,5.43,0.29,12.58,9414.06517,9.46,,,,clay loam,1.2,38.99495,-107.07043
C_37_wk_5,C_37,C,3700,high,3726,8/6/18,NA,3300041978,Ga0450747,5,218,0.11,1.15,5.51,,34.3,7280.85561,11.17,,,,clay loam,1.1,38.99495,-107.07043
C_37_wk_1,C_37,C,3700,high,3726,7/2/18,RMBL_DOESnowmelt_C37_702,NA,NA,1,183,0.04,1.78,5.48,0.43,0.72,4313.20443,47.7,41.44,26.02,32.53,clay loam,1.12,38.99495,-107.07043
Teo_37_wk_5,Teo_37,Teo,3700,high,3771.4975,8/4/18,RMBL_DOESnowmelt_TEO37_804,NA,NA,5,216,0.03,0.64,6.28,,29.94,2543.15346,,,,,,1.39,38.9581807,-106.87793
R_38_wk_2.5,R_38,R,3800,high,3833,7/13/18,RMBL_DOESnowmelt_R38_713,NA,NA,2.5,194,0.17,2.66,6.44,3.08,0.51,,5.68,,,,,,38.8973165,-107.12805
